AccountID,CustomerID,Account_Type,Balance,Currency,Status,OpenedDate,Branch_ID
A00113,C0065,INVESTMENT,2617.2,CAD,active,2016-03-16,BR006
A00114,C0066,savings,1190.27,CAD,active,2020-08-12,BR007
A00115,C0067,TFSA,735.68,CAD,active,2015-11-13,BR001
A00116,C0068,SAVINGS,1622.4,CAD,active,2016-08-25,BR009
A00117,C0069,investment,1169.65,CAD,inactive,07/08/2017,BR004
A00118,C0069,RRSP,427.18,CAD,inactive,2018-01-14,BR004
A00119,C0070,TFSA,1867.74,CAD,active,13/02/2011,BR020
A00120,C0070,investment,,CAD,active,2011-07-22,BR020
A00121,C0071,investment,1187.06,CAD,active,2020-05-19,BR017
A00122,C0071,chequing,1917.68,CAD,closed,2020-08-18,BR017
A00123,C0072,investment,478.94,CAD,active,2016-02-29,BR014
A00124,C0073,investment,403.57,CAD,active,06/11/2014,BR014
A00125,C0074,SAVINGS,441.73,CAD,active,14/04/2013,BR010
A00126,C0074,TFSA,538.19,CAD,active,15/04/2013,BR010
A00127,C0075,chequing,,CAD,active,19/12/2019,BR010
A00128,C0075,RRSP,1524.01,CAD,active,15/07/2019,BR010
A00129,C0076,SAVINGS,377.07,CAD,inactive,14/09/2018,BR006
A00130,C0076,chequing,599.78,CAD,inactive,2019-06-15,BR006
A00131,C0077,CHEQUING,532.11,CAD,active,2010-05-04,BR010
A00132,C0078,TFSA,439.59,CAD,active,11/04/2021,BR015
A00133,C0078,chequing,406.39,CAD,closed,2021-01-22,BR015
A00134,C0079,chequing,488.27,CAD,active,2012-08-23,BR017
A00135,C0079,SAVINGS,3094.04,CAD,active,04/05/2012,BR017
A00136,C0080,chequing,481.37,CAD,active,2016-12-30,BR007
A00137,C0081,TFSA,606.74,CAD,active,10/11/2015,BR020
A00138,C0081,chequing,857.62,CAD,active,2016-06-23,BR020
A00139,C0082,investment,501.45,CAD,active,30/01/2023,BR013
A00140,C0082,TFSA,5486.28,CAD,active,05/01/2023,BR013
A00141,C0082,chequing,4344.81,CAD,active,29/11/2023,BR013
A00142,C0083,investment,450.78,CAD,active,2014-03-30,BR001
A00143,C0084,RRSP,588.58,CAD,inactive,08/05/2014,BR017
A00144,C0085,SAVINGS,471.19,CAD,active,2015-11-26,BR015
A00145,C0085,investment,464.24,CAD,inactive,14/11/2015,BR015
A00146,C0085,TFSA,384.22,CAD,inactive,2015-12-03,BR015
A00147,C0086,RRSP,703.16,CAD,active,2023-05-04,BR011
A00148,C0087,RRSP,593.02,CAD,active,10/09/2019,BR015
A00149,C0087,savings,387.86,CAD,closed,16/02/2020,BR015
A00150,C0087,investment,461.63,CAD,active,29/03/2020,BR015
A00151,C0088,RRSP,2116.59,CAD,closed,2015-12-28,BR009
A00152,C0088,chequing,446.08,CAD,active,2016-09-17,BR009
A00153,C0089,RRSP,413.84,CAD,inactive,03/05/2016,BR003
A00154,C0089,investment,,CAD,active,06/12/2016,BR003
A00155,C0090,savings,9562.98,CAD,active,2018-02-20,BR018
A00156,C0091,chequing,,CAD,active,02/06/2015,BR005
A00157,C0091,SAVINGS,797.67,CAD,active,2016-03-07,BR005
A00158,C0091,TFSA,1009.91,CAD,inactive,2015-11-30,BR005
A00159,C0092,INVESTMENT,445.35,CAD,active,2019-12-01,BR018
A00160,C0092,SAVINGS,915.72,CAD,active,2020-01-08,BR018
A00161,C0092,RRSP,503.65,CAD,active,2019-11-22,BR018
A00162,C0093,RRSP,734.09,CAD,active,2014-11-17,BR013
A00163,C0093,savings,735.86,CAD,active,2015-06-27,BR013
A00164,C0094,chequing,622.14,CAD,closed,05/10/2020,BR012
A00165,C0094,RRSP,398.06,CAD,active,2021-07-04,BR012
A00166,C0094,TFSA,1338.28,CAD,active,2020-12-28,BR012
A00167,C0095,CHEQUING,480.23,CAD,active,14/12/2022,BR018
A00168,C0095,TFSA,427.17,CAD,closed,2022-12-21,BR018
A00169,C0096,TFSA,385.18,CAD,active,03/10/2016,BR016
A00170,C0096,investment,680.13,CAD,active,2016-03-15,BR016
A00171,C0097,TFSA,807.44,CAD,active,2019-07-19,BR006
A00172,C0097,SAVINGS,379.33,CAD,inactive,2019-07-05,BR006
A00173,C0098,investment,600.93,CAD,active,01/03/2011,BR019
A00174,C0099,RRSP,441.2,CAD,active,2013-06-28,BR006
A00175,C0099,chequing,753.2,CAD,active,2013-03-19,BR006
A00176,C0100,chequing,423.15,CAD,active,30/05/2017,BR015
A00177,C0101,RRSP,832.86,CAD,closed,03/08/2016,BR009
A00178,C0101,TFSA,514.02,CAD,inactive,2016-06-18,BR009
A00179,C0102,investment,2848.28,CAD,closed,2022-10-18,BR012
A00180,C0102,savings,411.6,CAD,active,2022-10-02,BR012
A00181,C0102,chequing,489.96,CAD,active,12/07/2022,BR012
A00182,C0103,TFSA,404.54,CAD,active,28/05/2011,BR007
A00183,C0104,RRSP,2477.02,CAD,active,2015-11-05,BR016
A00184,C0105,RRSP,1682.97,CAD,active,2021-05-06,BR009
A00185,C0106,chequing,453.21,CAD,active,2013-10-28,BR004
A00186,C0107,investment,776.83,CAD,active,17/12/2018,BR007
A00187,C0107,TFSA,1235.33,CAD,active,2019-09-11,BR007
A00188,C0107,savings,641.07,CAD,active,28/05/2019,BR007
A00189,C0108,RRSP,616.47,CAD,active,30/11/2012,BR010
A00190,C0109,RRSP,446.95,CAD,active,28/09/2018,BR014
A00191,C0110,chequing,398.83,CAD,active,2018-03-16,BR014
A00192,C0111,RRSP,1934.23,CAD,active,2018-05-27,BR015
A00193,C0111,INVESTMENT,1983.25,CAD,active,2018-09-08,BR015
A00194,C0111,chequing,735.24,CAD,active,2018-03-10,BR015
A00195,C0112,TFSA,488.96,CAD,active,29/11/2021,BR009
A00196,C0112,RRSP,494.03,CAD,active,04/06/2022,BR009
A00197,C0113,investment,910.11,CAD,active,25/02/2024,BR011
A00198,C0113,savings,1932.66,CAD,active,16/09/2023,BR011
A00199,C0113,TFSA,1796.05,CAD,inactive,31/12/2023,BR011
A00200,C0114,RRSP,1072.38,CAD,inactive,2020-10-10,BR015
A00201,C0114,investment,748.42,CAD,active,2020-08-16,BR015
A00202,C0115,TFSA,396.39,CAD,active,2021-11-26,BR006
A00203,C0116,CHEQUING,419.05,CAD,inactive,17/09/2016,BR009
A00204,C0116,TFSA,1954.38,CAD,active,09/08/2016,BR009
A00205,C0116,savings,699.16,CAD,active,2015-11-13,BR009
A00206,C0117,RRSP,377.59,CAD,active,26/10/2014,BR008
A00207,C0118,chequing,401.15,CAD,active,2015-08-28,BR016
A00208,C0118,RRSP,782.72,CAD,active,2015-10-30,BR016
A00209,C0119,savings,376.63,CAD,active,15/10/2012,BR008
A00210,C0119,TFSA,418.79,CAD,inactive,30/09/2012,BR008
A00211,C0120,chequing,634.6,CAD,active,2023-10-09,BR016
A00212,C0120,savings,834.76,CAD,closed,2023-07-02,BR016
A00213,C0121,TFSA,763.8,CAD,active,29/08/2017,BR015
A00214,C0121,investment,440.38,CAD,active,2018-03-01,BR015
A00215,C0122,INVESTMENT,877.66,CAD,closed,2015-06-10,BR007
A00216,C0122,TFSA,445.2,CAD,active,2015-07-24,BR007
A00217,C0123,INVESTMENT,482.4,CAD,active,22/07/2014,BR007
A00218,C0124,TFSA,964.43,CAD,active,2024-01-21,BR004
A00219,C0124,investment,760.12,CAD,active,2023-10-08,BR004
A00220,C0125,RRSP,1432.85,CAD,inactive,25/08/2018,BR010
A00221,C0125,TFSA,772.92,CAD,active,2018-04-19,BR010
A00222,C0126,chequing,654.73,CAD,closed,21/08/2016,BR002
A00223,C0127,TFSA,398.99,CAD,inactive,01/08/2012,BR019
A00224,C0127,SAVINGS,503.61,CAD,closed,2012-09-05,BR019
A00225,C0128,savings,456.11,CAD,active,28/09/2020,BR006
A00226,C0128,CHEQUING,447.77,CAD,active,2020-03-19,BR006
A00227,C0129,RRSP,5689.82,CAD,active,2013-06-14,BR013
A00228,C0129,savings,517.63,CAD,active,2012-09-12,BR013
A00229,C0130,CHEQUING,1860.74,CAD,closed,2013-05-29,BR019
A00230,C0130,savings,732.42,CAD,active,15/08/2013,BR019
A00231,C0131,TFSA,1131.02,CAD,active,08/12/2012,BR014
A00232,C0131,RRSP,,CAD,active,22/01/2013,BR014
A00233,C0131,investment,664.11,CAD,active,2013-07-24,BR014
A00234,C0132,RRSP,,CAD,active,04/09/2020,BR019
A00235,C0132,SAVINGS,430.12,CAD,closed,25/12/2019,BR019
A00236,C0133,SAVINGS,901.58,CAD,closed,2023-09-22,BR004
A00237,C0134,TFSA,462.52,CAD,inactive,24/03/2012,BR008
A00238,C0134,SAVINGS,381.17,CAD,active,01/11/2011,BR008
A00239,C0135,INVESTMENT,753.66,CAD,closed,11/09/2010,BR015
A00240,C0135,RRSP,,CAD,active,27/10/2010,BR015
A00241,C0136,savings,2990.97,CAD,inactive,2015-06-18,BR010
A00242,C0136,TFSA,3679.86,CAD,active,2015-08-28,BR010
A00243,C0136,RRSP,2246.02,CAD,active,01/11/2015,BR010
A00244,C0137,CHEQUING,504.92,CAD,active,2016-05-07,BR019
A00245,C0137,investment,379.06,CAD,active,2016-03-15,BR019
A00246,C0138,TFSA,2576.78,CAD,active,2022-09-03,BR005
A00247,C0138,RRSP,538.88,CAD,active,2023-02-25,BR005
A00248,C0138,investment,4786.68,CAD,active,2022-05-30,BR005
A00249,C0139,chequing,4458.53,CAD,active,2011-09-01,BR010
A00250,C0139,investment,1461.4,CAD,closed,2011-09-17,BR010
A00251,C0139,savings,468.37,CAD,active,2011-10-05,BR010
A00252,C0140,investment,513.1,CAD,active,25/06/2021,BR010
A00253,C0140,RRSP,1447.11,CAD,active,2021-06-12,BR010
A00254,C0141,TFSA,478.44,CAD,active,2023-01-27,BR015
A00255,C0142,INVESTMENT,421.57,CAD,active,2020-02-08,BR011
A00256,C0142,chequing,642.7,CAD,active,2020-01-01,BR011
A00257,C0142,RRSP,2827.63,CAD,active,2019-11-17,BR011
A00258,C0143,RRSP,843.08,CAD,active,2015-09-19,BR019
A00259,C0143,INVESTMENT,656.61,CAD,active,2015-10-18,BR019
A00260,C0144,savings,399.96,CAD,inactive,07/10/2014,BR017
A00261,C0144,RRSP,710.26,CAD,active,2014-01-16,BR017
A00262,C0144,investment,12943.41,CAD,active,2014-09-02,BR017
A00263,C0145,RRSP,412.38,CAD,active,15/04/2023,BR016
A00264,C0146,RRSP,606.33,CAD,active,18/12/2019,BR011
A00265,C0146,savings,1683.33,CAD,active,2019-05-23,BR011
A00266,C0147,CHEQUING,948.5,CAD,active,2020-01-19,BR016
A00267,C0147,SAVINGS,845.09,CAD,active,2019-12-13,BR016
A00268,C0148,savings,856.49,CAD,active,17/07/2011,BR003
A00269,C0149,RRSP,499.29,CAD,inactive,2013-07-17,BR017
A00270,C0149,TFSA,468.0,CAD,active,18/08/2012,BR017
A00271,C0150,savings,1196.18,CAD,active,2019-11-11,BR007
A00272,C0150,CHEQUING,1199.8,CAD,active,11/05/2019,BR007
A00273,C0150,TFSA,1580.4,CAD,closed,09/05/2019,BR007
A00274,C0151,TFSA,2212.49,CAD,active,2011-03-15,BR009
A00275,C0152,savings,600.29,CAD,closed,2021-10-08,BR001
A00276,C0153,TFSA,592.06,CAD,active,21/11/2022,BR018
A00277,C0153,investment,1145.83,CAD,active,19/11/2022,BR018
A00278,C0154,RRSP,760.64,CAD,inactive,2013-06-17,BR004
A00279,C0154,savings,,CAD,active,2012-09-16,BR004
A00280,C0155,RRSP,1135.14,CAD,inactive,2021-09-22,BR009
A00281,C0155,savings,1833.47,CAD,closed,2021-06-11,BR009
A00282,C0156,RRSP,488.46,CAD,active,18/03/2016,BR018
A00283,C0156,TFSA,507.85,CAD,active,2015-10-15,BR018
A00284,C0157,investment,399.07,CAD,closed,2023-09-16,BR005
A00285,C0158,chequing,665.64,CAD,active,2018-07-20,BR009
A00286,C0158,RRSP,383.99,CAD,active,2017-08-24,BR009
A00287,C0159,RRSP,564.34,CAD,active,2023-03-19,BR016
A00288,C0160,chequing,628.67,CAD,active,2020-12-03,BR011
A00289,C0160,savings,464.97,CAD,active,2021-03-10,BR011
A00290,C0161,chequing,680.06,CAD,closed,2014-12-08,BR008
A00291,C0161,savings,382.66,CAD,inactive,2014-07-23,BR008
A00292,C0162,investment,384.34,CAD,active,2011-04-24,BR016
A00293,C0162,RRSP,1263.95,CAD,closed,2011-03-07,BR016
A00294,C0163,TFSA,499.65,CAD,active,2021-06-29,BR005
A00295,C0163,investment,408.49,CAD,inactive,2021-12-08,BR005
A00296,C0164,TFSA,609.79,CAD,closed,19/09/2012,BR015
A00297,C0164,RRSP,1037.44,CAD,active,2013-03-05,BR015
A00298,C0164,chequing,437.32,CAD,active,2012-12-20,BR015
A00299,C0165,savings,720.87,CAD,active,2013-12-27,BR016
A00300,C0165,INVESTMENT,396.72,CAD,active,2014-03-20,BR016
A00301,C0166,investment,387.92,CAD,active,2011-11-18,BR018
A00302,C0166,SAVINGS,618.03,CAD,active,20/05/2012,BR018
A00303,C0166,TFSA,626.74,CAD,active,2011-12-27,BR018
A00304,C0167,investment,741.55,CAD,active,2023-01-16,BR020
A00305,C0168,investment,910.44,CAD,active,08/11/2015,BR003
A00306,C0168,chequing,,CAD,active,2015-05-15,BR003
A00307,C0169,RRSP,604.56,CAD,active,20/01/2020,BR010
A00308,C0169,chequing,481.25,CAD,active,2020-10-09,BR010
A00309,C0170,TFSA,1132.59,CAD,active,22/09/2011,BR012
A00310,C0170,SAVINGS,458.4,CAD,active,2011-04-12,BR012
A00311,C0171,chequing,545.9,CAD,closed,24/02/2016,BR014
A00312,C0172,savings,394.87,CAD,active,08/02/2012,BR013
A00313,C0172,TFSA,381.42,CAD,active,2012-03-01,BR013
A00314,C0173,investment,4363.85,CAD,active,29/07/2015,BR009
A00315,C0173,RRSP,,CAD,active,27/11/2015,BR009
A00316,C0174,TFSA,842.96,CAD,active,2020-12-14,BR018
A00317,C0174,investment,526.95,CAD,active,2020-07-01,BR018
A00318,C0174,chequing,422.8,CAD,active,29/09/2020,BR018
A00319,C0175,RRSP,417.42,CAD,active,2018-07-27,BR010
A00320,C0176,savings,450.18,CAD,active,2017-03-27,BR013
A00321,C0176,RRSP,635.09,CAD,inactive,2017-07-28,BR013
A00322,C0177,investment,883.15,CAD,closed,29/03/2019,BR012
A00323,C0177,RRSP,777.18,CAD,active,2019-06-15,BR012
A00324,C0178,investment,462.17,CAD,active,2019-01-27,BR001
A00325,C0178,savings,3741.67,CAD,active,2019-07-25,BR001
A00326,C0179,chequing,940.75,CAD,active,10/05/2017,BR020
A00327,C0179,RRSP,640.22,CAD,active,2016-06-05,BR020
A00328,C0179,TFSA,,CAD,active,20/04/2017,BR020
A00329,C0180,chequing,533.46,CAD,active,19/08/2024,BR005
A00330,C0180,savings,449.21,CAD,active,2024-01-04,BR005
A00331,C0181,RRSP,497.47,CAD,active,2020-10-23,BR019
A00332,C0181,TFSA,998.08,CAD,active,24/11/2019,BR019
A00333,C0182,CHEQUING,378.81,CAD,closed,15/05/2017,BR014
A00334,C0182,investment,405.29,CAD,active,22/08/2016,BR014
A00335,C0183,TFSA,386.49,CAD,closed,2022-03-31,BR017
A00336,C0183,SAVINGS,385.17,CAD,active,2022-10-31,BR017
A00337,C0184,RRSP,1480.61,CAD,inactive,28/02/2021,BR011
A00338,C0185,TFSA,858.98,CAD,active,2013-04-08,BR013
A00339,C0186,RRSP,570.64,CAD,active,16/04/2011,BR018
A00340,C0186,savings,400.14,CAD,inactive,2011-04-10,BR018
A00341,C0187,CHEQUING,584.06,CAD,active,04/01/2016,BR013
A00342,C0188,TFSA,570.12,CAD,active,20/06/2021,BR020
A00343,C0188,chequing,422.77,CAD,active,2020-10-24,BR020
A00344,C0189,INVESTMENT,542.54,CAD,active,2020-06-21,BR010
A00345,C0189,chequing,520.76,CAD,inactive,2021-05-20,BR010
A00346,C0189,RRSP,711.38,CAD,active,29/01/2021,BR010
A00347,C0190,investment,738.13,CAD,active,17/06/2011,BR010
A00348,C0190,chequing,386.31,CAD,active,2011-04-23,BR010
A00349,C0190,TFSA,507.32,CAD,inactive,2012-01-06,BR010
A00350,C0191,investment,724.98,CAD,active,2015-08-09,BR005
A00351,C0191,savings,593.4,CAD,active,2015-10-24,BR005
A00352,C0191,RRSP,1488.86,CAD,active,2016-01-09,BR005
A00353,C0192,savings,774.69,CAD,active,2022-10-26,BR019
A00354,C0192,CHEQUING,419.47,CAD,active,2022-08-08,BR019
A00355,C0193,chequing,392.78,CAD,active,2021-10-27,BR014
A00356,C0193,INVESTMENT,749.0,CAD,active,2021-10-22,BR014
A00357,C0194,CHEQUING,381.7,CAD,active,03/07/2015,BR015
A00358,C0194,investment,674.16,CAD,active,16/05/2015,BR015
A00359,C0195,savings,2981.76,CAD,active,2018-05-11,BR012
A00360,C0195,TFSA,662.52,CAD,inactive,2018-08-27,BR012
A00361,C0196,CHEQUING,514.83,CAD,active,21/06/2014,BR015
A00362,C0196,investment,750.32,CAD,active,2015-02-22,BR015
A00363,C0197,investment,559.09,CAD,active,2011-04-06,BR008
A00364,C0197,chequing,631.55,CAD,active,26/07/2011,BR008
A00365,C0198,chequing,3032.32,CAD,active,2022-07-21,BR019
A00366,C0198,savings,513.66,CAD,active,2023-01-22,BR019
A00367,C0199,chequing,4229.95,CAD,active,07/06/2013,BR001
A00368,C0199,RRSP,2064.69,CAD,active,09/06/2013,BR001
A00369,C0200,TFSA,430.31,CAD,active,11/07/2022,BR006
A00370,C0200,chequing,392.47,CAD,active,2022-03-27,BR006
